dest_ip,dest_port
181.48.234.214,8080
103.126.119.172,8181
43.167.253.173,13001
193.95.53.131,8077
36.95.22.27,8080
43.167.204.108,13001
186.96.50.113,999
176.88.175.194,8080
43.167.190.37,13001
112.106.145.190,80
43.167.253.134,13001
103.153.190.218,8081
45.22.209.157,8888
213.199.49.191,3128
103.139.98.69,8080
190.85.34.139,999
160.3.168.70,8080
207.248.3.81,999
27.147.195.170,58080
43.167.206.173,13001
103.193.144.207,8080
114.9.24.162,8080
181.65.169.37,999
52.137.65.63,3128
45.175.237.152,999
190.54.100.74,8080
103.203.232.69,1080
43.167.213.93,13001
45.189.118.214,999
147.75.34.92,9400
103.156.141.170,8080
54.185.0.201,3128
43.167.156.108,13001
58.136.168.224,8080
103.174.237.71,7777
157.66.50.61,8080
103.171.255.189,8080
103.156.248.97,8585
43.167.167.130,13001
147.93.145.195,3128
43.167.253.46,13001
99.20.24.9,8888
103.190.60.28,9090
194.183.190.10,8080
149.86.137.42,8080
94.103.83.90,3128
14.241.111.97,8080
202.182.59.52,10001
154.26.134.167,8080
179.1.102.233,999
149.86.144.51,8080
103.172.42.177,1111
188.125.169.196,8080
103.67.85.130,8082
84.36.35.200,8080
41.65.160.172,1976
43.167.167.235,13001
103.189.254.29,8080
4.149.210.210,3128
43.167.184.219,13001
201.150.119.171,999
43.167.194.91,13001
43.167.186.189,13001
103.121.199.138,62797
45.12.150.82,8080
103.156.16.45,8080
5.102.109.41,999
42.96.16.176,1312
9.223.187.19,3128
27.147.154.170,8088
12.131.14.114,3128
43.167.195.99,13001
45.161.32.81,8082
43.167.198.133,13001
187.249.114.251,8080
186.231.33.58,61804
43.167.187.189,13001
103.158.253.5,8080
103.9.188.20,8080
95.158.15.161,8080
103.177.176.62,8080
45.181.12.10,999
181.188.238.146,999
138.97.37.16,9292
165.16.3.198,9999
179.189.118.26,8080
103.154.52.6,1111
45.123.142.100,8181
85.117.60.163,8080
103.156.57.118,8080
43.167.156.247,13001
103.13.204.52,8080
41.65.236.47,1981
103.162.62.250,8181
181.129.147.163,8080
67.73.184.178,8081
103.169.255.195,6080
47.254.88.250,13001
103.36.11.21,8080
170.78.208.241,999
209.121.164.50,31147
165.16.27.36,1981
43.167.161.247,13001
114.130.175.18,8080
45.129.141.49,3128
49.156.22.206,8082
18.190.207.123,3128
49.229.100.235,8080
43.167.209.181,13001
152.42.170.187,9090
103.180.119.182,8082
103.151.22.26,8082
38.123.220.111,999
43.167.180.91,13001
13.216.242.79,3128
200.174.198.86,8888
43.167.215.17,13001
188.166.230.109,31028
187.249.114.147,999
36.94.30.238,8080
43.167.158.225,13001
140.227.81.191,3128
103.26.110.202,84
181.62.161.70,1999
201.77.96.160,999
103.227.187.177,6080
103.106.112.166,1234
103.163.236.114,8081
103.153.155.249,8082
164.163.73.5,999
119.2.45.105,8080
177.81.25.226,8080
43.167.185.166,13001
79.106.79.154,8989
205.209.106.26,3128
43.167.211.10,13001
43.167.202.166,13001
103.147.246.188,8080
160.250.35.10,8080
185.139.136.205,3128
179.1.147.131,999
103.166.159.163,8080
103.156.86.161,8080
102.0.16.124,8080
103.124.97.12,8080
43.167.164.122,13001
43.167.190.238,13001
103.227.187.1,6080
200.37.252.122,8080
209.14.98.5,8080
185.21.13.91,40969
95.213.217.168,52004
38.156.233.74,999
202.169.229.139,53281
43.167.195.164,13001
103.97.140.177,8080
43.167.180.72,13001
43.167.190.239,13001
45.4.203.115,999
165.16.58.124,8080
43.167.160.26,13001
177.234.217.86,999
103.255.241.247,8081
101.255.208.18,8090
38.7.131.92,999
191.81.205.13,8080
103.212.211.69,8080
31.57.178.153,8090
192.145.206.160,8080
135.181.113.216,16379
43.167.213.97,13001
213.131.85.27,1976
147.75.34.92,443
43.167.211.145,13001
65.108.203.37,18080
159.69.57.20,8880
54.196.177.74,3128
43.167.187.110,13001
204.199.202.133,999
120.28.220.26,8080
43.167.157.208,13001
78.188.152.209,1454
43.207.173.64,3128
43.167.212.175,13001
