dest_ip,dest_port
57.129.81.201,1080
206.189.57.182,1080
67.43.236.19,18457
162.55.215.143,8088
45.12.150.82,8080
117.86.6.26,1080
45.12.150.82,1080
72.10.160.90,27805
128.140.70.51,31023
72.10.160.170,20081
120.25.199.3,10001
161.35.70.249,3128
91.99.72.171,26045
91.99.72.171,18885
45.170.226.250,999
201.174.239.25,8080
128.140.46.169,37446
91.99.72.171,35049
207.244.254.27,7000
51.75.126.150,3639
62.171.171.209,40831
98.152.200.61,8081
195.29.122.132,60606
170.106.144.64,8090
57.129.81.201,8081
74.56.228.180,4145
117.250.3.58,8080
125.227.169.85,38157
178.62.116.7,1080
213.230.121.73,3128
194.146.110.228,1080
190.228.33.43,1085
43.134.22.9,1090
171.253.49.82,1080
91.99.72.171,16883
78.31.93.76,1080
117.131.27.26,80
91.99.72.171,23841
185.93.89.180,5375
139.59.24.173,1080
38.54.17.237,1080
118.113.244.104,2324
128.140.46.169,40775
45.22.209.157,8888
101.71.72.250,52300
195.182.192.205,1085
195.140.226.32,5678
209.97.150.167,8080
143.198.42.182,31280
67.43.236.19,15137
198.199.86.11,8080
200.41.182.243,4145
67.43.228.252,31717
97.74.237.222,45219
68.183.211.118,1080
68.183.211.118,1114
37.128.107.102,4145
172.233.14.116,1080
94.23.222.122,34392
78.129.138.107,1080
172.105.193.238,1080
31.42.185.134,1080
219.145.250.129,7890
212.50.19.150,4153
138.68.60.8,80
91.192.2.100,60606
171.247.241.158,1080
94.130.224.154,1080
128.140.46.169,36815
119.91.200.57,8082
185.14.149.33,4145
81.177.224.173,1337
72.10.160.93,25605
193.105.62.11,58973
138.199.25.13,3901
128.199.37.92,1080
45.136.198.40,3128
218.83.201.226,10800
159.203.61.169,8080
161.35.70.249,80
49.254.24.114,15648
43.134.22.251,1090
46.147.65.44,61986
200.125.40.38,5678
91.99.72.171,47377
175.178.136.39,8080
213.171.39.26,1080
89.250.148.154,4145
200.174.198.86,8888
91.99.72.171,10013
209.97.150.167,3128
128.140.46.169,21555
172.232.236.34,1080
72.10.164.178,29019
45.143.222.38,8081
72.10.160.90,16713
23.237.210.82,80
176.214.78.230,5678
201.46.29.115,5678
167.71.171.141,1080
128.199.253.195,9090
101.251.204.174,8080
47.116.185.185,1080
13.250.5.61,8080
101.71.72.253,52300
138.68.60.8,8080
43.134.250.234,1090
80.78.70.153,65530
128.140.46.169,25607
185.93.89.155,8232
45.55.175.51,46202
38.250.126.201,999
92.114.157.221,4145
27.77.228.137,1080
43.154.134.238,50001
128.199.114.189,9090
47.76.203.173,8888
57.129.81.201,8080
117.91.62.112,3712
43.134.23.90,1090
128.140.46.169,20468
157.175.152.241,1080
128.199.121.61,9090
187.249.114.252,8080
152.42.170.187,9090
172.233.222.247,3128
159.203.61.169,3128
115.144.67.106,15648
195.219.98.27,5678
220.167.89.46,1080
72.10.164.178,13337
110.43.221.121,7088
91.99.72.171,54854
68.183.211.118,1111
57.129.81.201,999
78.188.18.190,1085
162.55.215.143,58211
51.75.86.68,3128
50.238.47.86,32100
128.140.46.169,23057
14.229.120.170,8080
134.199.159.23,1080
172.235.216.234,3128
172.104.164.41,1080
72.10.164.178,5815
83.220.46.106,4145
172.237.149.108,3128
54.37.153.108,53695
168.194.75.98,8888
74.81.46.242,60001
188.113.134.208,1080
68.183.211.118,1218
91.99.72.171,39071
172.233.142.202,3128
194.183.190.10,8080
209.141.45.119,56666
67.43.228.251,8211
198.199.86.11,80
51.81.244.204,17981
43.134.228.213,1090
149.86.137.246,10820
68.183.211.118,2079
47.245.55.6,3128
37.52.13.164,5678
110.42.33.78,3128
172.105.58.227,1080
115.231.181.40,8128
85.175.100.44,1080
171.248.212.99,1080
72.10.160.172,15247
185.59.100.55,1080
194.150.71.227,4153
45.140.143.77,18080
45.186.6.104,3128
62.171.171.209,49979
200.43.231.16,4153
