dest_ip,dest_port,dest_country,metadata_file
154.85.58.149,80,United States,http.txt
203.174.15.138,8080,Indonesia,http.txt
8.219.97.248,80,Singapore,http.txt
190.103.177.131,80,Argentina,http.txt
80.249.112.162,80,Iran,http.txt
221.231.13.198,1080,China,http.txt
43.133.136.208,8800,Indonesia,http.txt
8.209.255.13,3128,Japan,http.txt
47.91.65.23,3128,Germany,http.txt
93.180.221.205,8080,Iraq,http.txt
175.139.233.79,80,Malaysia,http.txt
47.88.18.204,8023,United States,http.txt
154.73.28.253,8080,Libya,http.txt
87.248.129.26,80,United Arab Emirates,http.txt
103.84.177.28,8083,Philippines,http.txt
188.132.221.170,8080,T�rkiye,http.txt
128.140.113.110,999,Germany,http.txt
128.140.113.110,5153,Germany,http.txt
61.91.202.210,8080,Thailand,http.txt
188.132.222.168,8080,T�rkiye,http.txt
131.72.71.5,40033,Brazil,http.txt
115.42.67.186,8080,Pakistan,http.txt
103.172.71.222,8081,Indonesia,http.txt
54.38.181.125,3128,France,http.txt
181.188.238.146,999,Ecuador,http.txt
208.87.243.199,7878,United States,http.txt
98.64.128.182,3128,The Netherlands,http.txt
103.173.138.239,1111,Indonesia,http.txt
103.172.23.114,1111,Indonesia,http.txt
204.157.185.2,999,Peru,http.txt
220.233.184.21,80,Australia,http.txt
191.97.68.42,8080,Argentina,http.txt
103.171.255.188,8080,Indonesia,http.txt
175.158.44.70,7777,Indonesia,http.txt
195.158.8.123,3128,Uzbekistan,http.txt
189.72.85.254,8080,Brazil,http.txt
103.243.82.26,100,Bangladesh,http.txt
185.189.100.94,8080,Russia,http.txt
154.0.14.116,3128,South Africa,http.txt
38.254.108.1,999,Venezuela,http.txt
91.205.196.215,8080,Armenia,http.txt
141.136.63.126,8080,Venezuela,http.txt
150.109.37.211,3128,Hong Kong,http.txt
185.46.141.18,8080,Albania,http.txt
20.27.14.220,8561,Japan,http.txt
177.234.217.82,999,Ecuador,http.txt
8.213.151.128,3128,Singapore,http.txt
47.243.92.199,3128,Hong Kong,http.txt
122.154.75.204,8080,Thailand,http.txt
103.133.26.45,8080,Indonesia,http.txt
181.78.198.7,8080,Ecuador,http.txt
41.59.90.175,80,Tanzania,http.txt
159.69.57.20,8880,The Netherlands,http.txt
216.250.11.178,3128,Turkmenistan,http.txt
181.94.246.214,3131,Paraguay,http.txt
157.20.252.222,8082,Indonesia,http.txt
15.204.151.142,31158,United States,http.txt
120.28.131.22,8082,Philippines,http.txt
195.114.7.6,8095,Ukraine,http.txt
47.89.184.18,3128,United States,http.txt
177.234.217.85,999,Ecuador,http.txt
201.77.96.145,999,Mexico,http.txt
20.210.39.153,8561,Japan,http.txt
121.101.129.51,9285,Indonesia,http.txt
103.193.144.75,8081,Indonesia,http.txt
89.213.106.253,999,Mexico,http.txt
200.188.112.147,999,Mexico,http.txt
119.235.112.42,3128,Turkmenistan,http.txt
34.102.48.89,8080,United States,http.txt
