dest_ip,dest_port,metadata_comment
68.183.211.118,1287,proxy.txt
45.142.193.26,5085,proxy.txt
185.93.89.169,11155,proxy.txt
185.93.89.157,12425,proxy.txt
5.189.191.107,1337,proxy.txt
188.132.232.210,1287,proxy.txt
173.212.239.181,22558,proxy.txt
185.93.89.166,14533,proxy.txt
188.132.232.210,1135,proxy.txt
68.183.211.118,1081,proxy.txt
68.183.211.118,1153,proxy.txt
185.93.89.151,4005,proxy.txt
185.93.89.162,5120,proxy.txt
185.93.89.169,4811,proxy.txt
185.93.89.190,13053,proxy.txt
185.93.89.189,8244,proxy.txt
185.93.89.183,19993,proxy.txt
185.93.89.149,4630,proxy.txt
185.93.89.162,20032,proxy.txt
173.212.239.181,20711,proxy.txt
185.93.89.153,4671,proxy.txt
185.93.89.187,4295,proxy.txt
185.93.89.151,10924,proxy.txt
185.93.89.157,18601,proxy.txt
173.212.239.181,45053,proxy.txt
185.93.89.149,26801,proxy.txt
185.93.89.157,23142,proxy.txt
185.93.89.188,4519,proxy.txt
185.93.89.146,34803,proxy.txt
185.93.89.146,21029,proxy.txt
173.212.239.181,10880,proxy.txt
185.93.89.144,32239,proxy.txt
185.93.89.189,17979,proxy.txt
185.93.89.156,21790,proxy.txt
173.212.239.181,16883,proxy.txt
185.93.89.153,9166,proxy.txt
185.93.89.157,18594,proxy.txt
185.93.89.181,4563,proxy.txt
185.93.89.171,4573,proxy.txt
185.93.89.144,12455,proxy.txt
185.93.89.162,4789,proxy.txt
185.93.89.164,18166,proxy.txt
5.9.98.142,3629,proxy.txt
185.93.89.178,48086,proxy.txt
185.93.89.183,22220,proxy.txt
185.93.89.143,6414,proxy.txt
173.212.239.181,24738,proxy.txt
185.93.89.176,23683,proxy.txt
185.93.89.157,8971,proxy.txt
5.9.98.142,2324,proxy.txt
185.93.89.174,16011,proxy.txt
163.172.162.184,16379,proxy.txt
185.93.89.172,15030,proxy.txt
5.9.98.142,3127,proxy.txt
185.93.89.187,22824,proxy.txt
190.119.160.29,56160,proxy.txt
185.93.89.149,21907,proxy.txt
128.140.46.169,21555,proxy.txt
185.93.89.147,4229,proxy.txt
185.93.89.150,4895,proxy.txt
185.93.89.150,5911,proxy.txt
185.93.89.157,5855,proxy.txt
185.93.89.155,4057,proxy.txt
5.9.98.142,3000,proxy.txt
45.142.193.20,5227,proxy.txt
185.93.89.174,10851,proxy.txt
101.71.72.250,52300,proxy.txt
185.93.89.152,6087,proxy.txt
185.93.89.151,4262,proxy.txt
185.93.89.158,4297,proxy.txt
185.93.89.183,20791,proxy.txt
45.91.92.45,31232,proxy.txt
185.93.89.155,4696,proxy.txt
45.142.193.27,4007,proxy.txt
185.93.89.155,13382,proxy.txt
173.212.239.181,59373,socks.json
128.140.46.169,40775,socks.json
128.140.46.169,15088,socks.json
5.9.98.142,3629,socks.json
173.212.239.181,29995,socks.json
128.140.46.169,21555,socks.json
128.140.46.169,59893,socks.json
128.140.46.169,38163,socks.json
173.212.239.181,20711,socks.json
128.140.46.169,12025,socks.json
5.9.98.142,3346,socks.json
173.212.239.181,33462,socks.json
5.9.98.142,3000,socks.json
173.212.239.181,22558,socks.json
173.212.239.181,59373,socks.json
173.212.239.181,22558,socks.json
45.115.114.57,9090,socks.json
173.212.239.181,26392,socks.json
173.212.239.181,20711,socks.json
5.9.98.142,3629,socks.json
173.212.239.181,33462,socks.json
5.9.98.142,3000,socks.json
173.212.239.181,10880,socks.json
128.140.46.169,59651,socks.json
128.140.46.169,21555,socks.json
5.9.98.142,3346,socks.json
5.9.98.142,3000,socks.json
173.212.239.181,22558,socks.json
5.9.98.142,3629,socks.json
128.140.46.169,58347,socks.json
173.212.239.181,20711,socks.json
128.140.46.169,40775,socks.json
128.140.46.169,59651,socks.json
173.212.239.181,10880,socks.json
128.140.46.169,15088,socks.json
173.212.239.181,33462,socks.json
173.212.239.181,29995,socks.json
5.9.98.142,3346,socks.json
173.212.239.181,11926,socks.json
5.9.98.142,3000,socks.json
5.9.98.142,3629,socks.json
128.140.46.169,59651,socks.json
173.212.239.181,10880,socks.json
68.183.211.118,1111,socks.json
173.212.239.181,44290,socks.json
173.212.239.181,58979,socks.json
5.9.98.142,3346,socks.json
45.115.114.57,9090,socks.json
173.212.239.181,10880,socks.json
173.212.239.181,11926,socks.json
