dest_ip,dest_port
202.40.181.220,31247
104.129.194.43,10336
165.140.185.179,39593
103.88.169.106,33149
72.10.160.90,19101
222.165.205.156,8089
123.200.5.146,7376
119.10.177.107,1080
124.158.149.66,4153
212.231.197.29,4145
103.210.29.201,31433
67.43.228.254,5555
103.174.178.138,1080
177.136.124.36,3629
161.49.176.173,1337
45.128.135.249,1080
103.160.57.61,10101
213.184.242.144,8080
64.49.67.164,5678
82.209.165.206,4153
72.10.160.174,2481
202.182.55.44,8080
185.191.165.28,1080
190.14.224.244,999
184.95.220.42,1080
103.234.27.221,1080
49.229.36.213,4153
175.106.11.172,8080
187.19.127.246,8011
8.130.34.237,1234
84.2.239.42,4153
8.130.34.44,3128
46.29.116.3,4145
195.9.146.246,3629
213.156.124.3,33333
201.148.125.126,4153
213.14.32.66,9090
36.255.86.113,83
183.80.130.10,4145
183.88.247.52,4153
195.175.22.194,5678
168.194.226.178,4153
186.215.87.194,10312
81.7.86.154,4145
122.3.41.154,8090
45.128.133.141,1080
200.85.52.254,5678
131.161.68.38,35944
85.102.10.94,4153
81.201.62.152,80
95.31.42.199,3629
185.87.121.35,8975
203.188.245.98,52837
170.81.108.153,4153
102.68.128.214,8080
191.102.251.29,4153
124.6.225.124,1088
177.85.65.177,4153
1.20.207.56,4153
103.17.213.98,8080
187.44.211.118,4153
118.173.230.149,1080
176.112.96.2,3629
217.27.149.190,4153
203.170.146.146,4153
103.40.122.194,1080
1.20.207.225,4153
103.118.127.222,4153
91.92.80.199,4145
79.104.34.214,1080
31.131.199.127,3629
105.29.93.193,4145
91.223.52.141,5678
195.39.233.14,44567
31.25.24.67,1080
50.238.47.86,32100
8.213.128.6,8080
36.92.111.49,4673
8.213.129.15,8080
200.214.154.135,4145
209.141.54.136,5555
8.219.97.248,80
138.117.116.30,44009
95.156.83.139,1080
182.53.216.4,4153
181.48.243.194,4153
180.191.22.50,4153
65.49.67.161,48324
72.10.160.170,10919
185.87.121.5,8975
92.255.88.219,1080
178.220.148.82,10801
189.203.181.34,1080
113.160.188.21,1080
45.65.233.229,4145
213.14.32.67,4153
45.249.101.65,56457
181.143.21.146,4153
103.155.198.50,8080
72.10.160.172,10919
74.82.50.155,3128
103.224.48.41,31433
201.150.119.171,999
183.88.219.206,41564
103.97.94.22,4153
154.70.214.105,4145
201.234.24.89,4153
78.47.219.204,3128
77.225.198.220,9812
103.160.41.138,3829
84.52.123.163,4145
168.232.213.9,4153
97.105.12.186,4153
118.174.143.38,4153
212.33.248.45,1080
104.129.194.44,10336
201.184.239.75,5678
130.255.160.60,18946
188.132.222.50,8080
8.130.39.117,8080
213.74.223.75,4153
168.194.75.98,8888
45.128.133.241,1080
103.174.178.131,1020
67.43.228.250,14395
45.6.101.97,4153
108.175.23.225,13135
170.106.151.187,39876
46.105.105.223,43278
64.201.87.248,8899
200.122.92.211,5678
195.225.48.65,55774
111.68.31.134,40385
93.184.7.73,1080
203.174.26.137,4153
67.43.228.253,3767
1.179.148.33,1080
201.144.8.115,5678
181.115.207.114,1080
45.234.77.86,4153
203.174.15.138,8080
180.178.103.67,8080
37.44.238.2,63617
183.80.130.9,4145
177.99.160.98,4145
67.43.236.20,5103
182.253.93.3,53281
113.176.118.150,1080
39.101.65.228,8080
119.18.151.49,8080
185.215.53.201,3629
200.123.109.166,4153
139.59.234.208,50929
5.8.240.93,4153
92.42.8.20,4145
103.18.47.79,4145
103.146.170.233,5678
183.88.212.167,4153
203.210.235.91,5678
8.213.128.90,8080
103.39.49.156,3128
109.248.236.150,9898
72.10.164.178,3001
190.104.219.147,4153
51.75.126.150,21224
91.200.163.190,3128
195.66.156.196,1080
101.96.117.164,1080
180.180.123.40,8080
103.229.185.154,8080
185.86.5.162,8975
8.130.36.245,8080
182.53.216.73,4145
77.238.79.111,8080
45.116.230.79,4673
41.216.232.213,4153
103.84.177.30,8083
183.88.240.139,4153
179.1.110.88,5678
200.70.34.22,4153
8.213.137.155,8080
167.71.220.29,7497
203.174.15.83,8080
94.130.177.190,9999
45.115.1.14,5678
190.119.235.210,4153
109.232.106.150,52435
143.137.116.72,1080
138.199.25.13,3909
190.211.161.212,32410
8.213.129.20,20201
37.128.107.102,4145
128.199.104.190,41354
62.201.212.198,4673
67.43.228.252,10693
186.248.87.172,5678
94.253.95.241,3629
68.183.232.4,3128
181.143.59.140,4153
83.234.147.166,6363
45.249.50.137,4153
194.44.208.62,80
43.153.62.242,443
103.157.79.83,1111
185.170.233.102,47574
103.156.74.186,8080
117.74.65.207,5441
147.75.88.40,10001
201.89.97.222,8080
45.6.101.98,4153
194.44.74.118,1080
47.176.213.210,39593
41.169.151.154,4153
202.166.219.80,4153
103.144.146.40,34343
122.50.6.186,8080
213.249.123.18,1080
186.224.225.82,42648
102.36.127.53,1080
188.124.15.13,3629
31.131.135.247,8080
37.18.73.60,5566
51.158.105.157,16379
197.157.195.37,6699
193.33.144.87,8080
45.128.133.1,1080
103.110.10.154,4153
83.220.46.106,4145
