metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1746651550.236,elite,391.7828113356,1730745697.2416,AS57511 Innovative Telecom Systems FZE,ITEL-AS-NUMBER,Ras al-Khaimah,Asia,AS,United Arab Emirates,AE,,False,ITEL,25.8009,55.9683,False,,True,Imarat Ra's al Khaymah,success,Asia/Dubai,,1746386931.0,1746652078.9075,80,http,158.255.77.168:80,False,308.35580825806,38871,33848,53.453705358985,158.255.77.168
True,1746637600.5588,elite,140.97985765403,1746473014.32,AS197540 netcup GmbH,netcup-AS,Nuremberg,Europe,EU,Germany,DE,,True,netcup GmbH,49.4423,11.0191,False,netcup GmbH,False,Bavaria,success,Europe/Berlin,90431,1746473014.0,1746652078.5358,80,http,89.58.57.45:80,False,30.332565307617,3190,3,99.906044472283,89.58.57.45
True,1746647879.003,elite,324.50106118015,1745116794.8531,AS24940 Hetzner Online GmbH,HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,True,Hetzner Online GmbH,60.1719,24.9347,False,Hetzner,False,Uusimaa,success,Europe/Helsinki,00201,1746326421.0,1746652077.7736,8888,http,65.21.52.41:8888,False,130.99527359009,10939,14023,43.822610367759,65.21.52.41
True,1746652077.4408,elite,8158.4342617069,1745614592.9149,AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,Fuzhou,Asia,AS,China,CN,,False,CNCGroup CHINA169 FuJian province network,26.0614,119.3061,False,,False,Fujian,success,Asia/Shanghai,,1746221178.0,1746652077.4408,8118,http,58.22.18.232:8118,False,918.64252090454,1333,16142,7.6280400572246,58.22.18.232
True,1746651958.6299,elite,2223.3814396713,1742878906.6057,AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,Singapore,Asia,AS,Singapore,SG,Bukit Merah,True,Microsoft,1.283,103.833,False,Microsoft Azure Cloud (southeastasia),True,Central Singapore,success,Asia/Singapore,168812,1746507976.0,1746652077.0689,80,http,172.188.122.92:80,False,1466.3672447205,32069,19755,61.880595862921,172.188.122.92
True,1746652025.9637,elite,1478.3373445054,1745587741.1719,"AS136258 BrainStorm Network, Inc",ONEPROVIDER-AS,Sydney,Oceania,OC,Australia,AU,,True,"BrainStorm Network, Inc",-33.8715,151.2006,False,Oneprovider.com,True,New South Wales,success,Australia/Sydney,2000,1746192566.0,1746652076.5827,80,http,103.75.119.185:80,False,1522.3469734192,9570,8410,53.225806451613,103.75.119.185
True,1746652076.5651,elite,1028.3126030971,1696985971.7564,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,Fairlie-Poplar,True,Performive LLC,33.7549,-84.3897,False,Total Server Solutions L.L.C.,True,Georgia,success,America/New_York,30303,1746490298.0,1746652076.5651,16894,socks4,192.111.129.145:16894,True,794.6183681488,143368,310415,31.593955701293,192.111.129.145
True,1746651812.0841,elite,963.87035077354,1742044802.4654,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Xiangtan,Asia,AS,China,CN,Yuetang Qu,False,Chinanet,27.8248,112.926,False,,True,Hunan,success,Asia/Shanghai,411100,1746278867.0,1746652076.4873,3309,http,218.75.224.4:3309,False,802.41179466248,56005,6156,90.096684416274,218.75.224.4
True,1746651848.3181,elite,5074.8715862242,1746101776.3346,AS141995 Contabo Asia Private Limited,CAPL-AS-AP,Singapore,Asia,AS,Singapore,SG,Downtown Core,False,Contabo Asia Private Limited,1.28967,103.85,False,Contabo GmbH,True,Central Singapore,success,Asia/Singapore,,1746104717.0,1746652076.1969,14602,http,109.123.238.230:14602,False,623.73614311218,1687,7324,18.72156253468,109.123.238.230
True,1746650421.1808,elite,1740.3960930445,1743220715.2809,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Suzhou,Asia,AS,China,CN,,False,Chinanet,31.3093,120.602,False,,True,Jiangsu,success,Asia/Shanghai,,1746244902.0,1746652075.968,8083,http,222.92.76.4:8083,False,798.57206344604,29449,18150,61.868946826614,222.92.76.4
